Habit Tracker,Month:,Year:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
Morning routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8+ hours sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy eating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drink 8 glasses water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No social media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn something new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connect with friend/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice gratitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep work session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No screen 1hr before bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom habit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom habit 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom habit 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions:,Mark each day with an X or ✓ when you complete the habit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count your total at the end of the month in the Total column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aim for at least 80% completion (24+ days) for each habit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
